公司,年/月,季別,合併(Y/N),月份,幣別,資產總額,營業收入淨額,,,,,,,,,
1217 愛之味,12/01/2023,4,Y,12,NTD,"14,021,710","4,900,038",,,,,,,,,
1218 泰山,12/01/2023,4,Y,12,NTD,"13,679,164","11,228,425",,,,,,,,,
1217 愛之味,09/01/2023,3,Y,9,NTD,"14,429,664","3,957,479",,,,,,,,,
1218 泰山,09/01/2023,3,Y,9,NTD,"14,022,428","8,573,732",,,,,,,,,
1217 愛之味,06/01/2023,2,Y,6,NTD,"14,235,568","2,330,846",,,,,,,,,
1218 泰山,06/01/2023,2,Y,6,NTD,"14,648,563","5,273,321",,,,,,,,,
1217 愛之味,03/01/2023,1,Y,3,NTD,"14,052,221","1,171,271",,,,,,,,,
1218 泰山,03/01/2023,1,Y,3,NTD,"15,013,163","2,649,807",,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
